rxns	rxnNames	formulas	grRules
r_0003	(R,R)-butanediol dehydrogenase	(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]	Seq_2497
r_0005	1,3-beta-glucan synthase	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]	(Seq_3713 and Seq_339) or (Seq_3940 and Seq_339) or (Seq_5235 and Seq_339) or Seq_3713 or Seq_3940 or Seq_5235
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	Seq_684
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c]	Seq_1789
r_0012	1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] <=> H+[m] + L-glutamate[m] + NADH[m]	Seq_1802
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]	Seq_4897 and Seq_1969
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]	Seq_315
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	Seq_5427
r_0016	2-aceto-2-hydroxybutanoate synthase	2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	(Seq_4944 and Seq_5498) or Seq_5498
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]	Seq_8
r_0018	2-aminoadipate transaminase	2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c]	Seq_3845 or Seq_4947 or Seq_650
r_0019	2-dehydropantoate 2-reductase	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c]	Seq_865
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m]	Seq_2417 or Seq_4899
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m] => 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m]	Seq_899 and Seq_370 and Seq_625 and Seq_4799 and Seq_1271 and Seq_4208 and Seq_5200
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	2-hexaprenyl-6-methoxyphenol[m] + oxygen[m] => 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m]	Seq_899 and Seq_370 and Seq_625 and Seq_4799 and Seq_1271 and Seq_4208 and Seq_5200
r_0023	2-isopropylmalate hydratase	2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c]	Seq_4343
r_0024	2-isopropylmalate synthase	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]	Seq_1942 or Seq_2712
r_0025	2-isopropylmalate synthase	3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m]	Seq_1942 or Seq_2712
r_0026	2-keto-4-methylthiobutyrate transamination	4-methylthio-2-oxobutanoate[c] + L-glutamate[c] => 2-oxoglutarate[c] + L-methionine[c]	Seq_584 or Seq_4947 or Seq_3641
r_0027	2-methylcitrate dehydratase	homocitrate[m] <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]	Seq_1776 or Seq_732
