excRxnIds	rates_01	rates_25	rates_50	rates_75	rates_99
(R)-lactate exchange	1.98816426822833	1.609191218792	1.07279486105718	0.536398503322387	0.0214579998969934
(R)-mevalonate exchange	0.794270988781986	0.624888992098951	0.440956679831827	0.220478780872154	0.00881999787086057
(R)-pantothenate exchange	0.415896919902515	0.315289955287978	0.210491033814503	0.10569211234102	0.00429549117143606
(R,R)-2,3-butanediol exchange	1.08445323721546	0.859034760549658	0.577323892844225	0.288662523745432	0.0115476094105898
(S)-3-methyl-2-oxopentanoate exchange	0.79949087962422	0.605717446683759	0.403870120704104	0.202022794724449	0.00819154222823809
(S)-malate exchange	1.49149671210868	1.28741780271689	0.890449491035964	0.452027277809233	0.0180828268919292
1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	0.0904034723621495	0.0770217494474396	0.0552069323136199	0.0333921151797997	0.00498789307800159
2-isopropylmalate exchange	0.745615227117705	0.58663642273865	0.399392027660867	0.199782775408207	0.00809943498999396
2-methylbutanal exchange	0.799490879624216	0.605717446683752	0.4038701207041	0.202022794724457	0.00819154222824319
2-methylbutanol exchange	0.758988460512405	0.575031640861356	0.383409953724856	0.191788266588352	0.00777094634635931
2-oxoglutarate exchange	1.17556259154633	0.924868380383792	0.648639776714448	0.331206046169092	0.0132495136741712
2-phenylethanol exchange	0.545657053831706	0.415039232522325	0.278979001991722	0.142918771461122	0.00800937606231498
3-methylbutanal exchange	0.772038608528835	0.607425855926065	0.421642965304703	0.210913077893106	0.00855738851366637
4-aminobenzoate exchange	0.690761732157882	0.533208377338719	0.361235907616308	0.185148914418731	0.0119803439191381
9H-xanthine exchange	0.770377488186749	0.671492503496885	0.551672422958222	0.27688784964273	0.011666067856876
acetaldehyde exchange	2.29899409400936	1.80872286982306	1.25002299860809	0.62501274932579	0.0250029100147999
acetate exchange	2.57025449691916	2.02276401343596	1.45246142647433	0.751963954449587	0.0342597812739894
adenosine 3',5'-bismonophosphate exchange	0.468589319940202	0.355340842503401	0.237373678506743	0.119406514510077	0.00534034468960297
trehalose exchange	0.444013675750359	0.336374105507522	0.224249553171234	0.112125000834946	0.00448543059211311
alpha-D-glucosamine 6-phosphate exchange	0.867714416474929	0.657359618900207	0.438240038093203	0.219120457286201	0.00876565971148619
carbon dioxide exchange	5.96598684843471	5.14967121086757	4.29934242173515	3.44901363260273	2.63269799503557
choline exchange	0.406497322103892	0.355271960805849	0.284099003760796	0.142097582460868	0.00577621801293444
citrate exchange	0.994331141405778	0.858278535144594	0.587833758022806	0.298224297600756	0.0119301170818984
D-galactose exchange	0.86771441647493	0.657359618900207	0.438240038093204	0.219120457286204	0.00876565971148943
dTTP exchange	0.4595169872118	0.348145523072521	0.232133581260762	0.116121639449007	0.00475017530972273
episterol exchange	0.0289748721377545	0.0265230781804647	0.0229513100153748	0.0188144676561811	0.00112664130669418
ergosterol exchange	0.0675395904483101	0.0608584438012998	0.0514728741185139	0.0279552280088401	0.00111831646810908
ethanol exchange	1.98816426822834	1.609191218792	1.07279486105719	0.536398503322386	0.0214579998969963
