rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_1542	(1->3)-beta-D-glucan exchange	2345	(1->3)-beta-D-glucan[e] => 	0	0	0	0	0
r_1545	(R)-carnitine exchange	2347	(R)-carnitine[e] => 	0	0	0	0	0
r_1546	(R)-lactate exchange	2348	(R)-lactate[e] => 	1.82246341869701	1.37040907198596	0.913875413074763	0.45693862040494	0.0182792994574028
r_1547	(R)-mevalonate exchange	2349	(R)-mevalonate[e] => 	0.755996357103829	0.582600905168341	0.404303739388287	0.21040449476606	0.00841698774313114
r_1548	(R)-pantothenate exchange	2350	(R)-pantothenate[e] => 	0.446187035647869	0.336127765932866	0.225688897592414	0.113949388471477	0.00459762607021857
r_1549	(R,R)-2,3-butanediol exchange	2351	(R,R)-2,3-butanediol[e] => 	1.07977689005234	0.83211908048647	0.564625574804893	0.282313352024914	0.0112936181574241
r_1550	(S)-3-methyl-2-oxopentanoate exchange	2352	(S)-3-methyl-2-oxopentanoate[e] => 	0.794982102394009	0.597046961387361	0.399111820382298	0.199822707548697	0.00809973548862686
r_1551	(S)-lactate exchange	2353	(S)-lactate[e] => 	0	0	0	0	0
r_1552	(S)-malate exchange	2354	(S)-malate[e] => 	1.50000000000034	1.24205813383651	0.858325709308929	0.440323806008337	0.0181251231360875
r_1553	1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	2355	1-(sn-glycero-3-phospho)-1D-myo-inositol[e] => 	0.53710017272719	0.403886863039414	0.270285093225993	0.135166411969076	0.00545247796600279
r_1554	1-acylglycerophosphocholine exchange	2356	1-acylglycerophosphocholine[e] => 	0	0	0	0	0
r_1563	2'-deoxyadenosine exchange	2359	2'-deoxyadenosine[e] => 	0	0	0	0	0
r_1564	2'-deoxyguanosine exchange	2360	2'-deoxyguanosine[e] => 	0	0	0	0	0
r_1565	2'-deoxyinosine exchange	2361	2'-deoxyinosine[e] => 	0	0	0	0	0
r_1566	2'-deoxyuridine exchange	2362	2'-deoxyuridine[e] => 	0	0	0	0	0
r_1572	2-isopropylmalate exchange	2365	2-isopropylmalate[e] => 	0.728004578024347	0.563706686081757	0.388515062624831	0.197011023322796	0.00798407120348006
r_1577	2-methylbutanal exchange	2370	2-methylbutanal[e] => 	0.794982102393973	0.597046961385532	0.399111820377685	0.199822707547253	0.00809973548854667
r_1580	2-methylbutanol exchange	2373	2-methylbutanol[e] => 	0.754136776248211	0.566371330087789	0.378318106292901	0.189384409948292	0.00767058199652688
r_1581	2-methylbutyl acetate exchange	2374	2-methylbutyl acetate[e] => 	0	0	0	0	0
r_1586	2-oxoglutarate exchange	2378	2-oxoglutarate[e] => 	1.15850759560874	0.897732325767493	0.63580440755095	0.32986713397986	0.0133683325631182
r_1589	2-phenylethanol exchange	2381	2-phenylethanol[e] => 	0.56121398908246	0.421430011958387	0.281646034837058	0.141862057713943	0.00576322236520691
r_1598	3-methylbutanal exchange	2387	3-methylbutanal[e] => 	0.759146879092682	0.584539871755191	0.405713895139905	0.208332088879828	0.0084500852234437
r_1604	4-aminobenzoate exchange	2392	4-aminobenzoate[e] => 	0.719660725606654	0.549443335789264	0.374232967066556	0.188717955445767	0.0077352883552166
r_1621	5-aminolevulinate exchange	2407	5-aminolevulinate[e] => 	0	0	0	0	0
r_1625	5-formyltetrahydrofolic acid exchange	2411	5-formyltetrahydrofolic acid[e] => 	0	0	0	0	0
r_1627	7,8-diaminononanoate exchange	2412	7,8-diaminononanoate[e] => 	0	0	0	0	0
r_1629	8-amino-7-oxononanoate exchange	2414	8-amino-7-oxononanoate[e] => 	0	0	0	0	0
r_1630	9H-xanthine exchange	2415	9H-xanthine[e] => 	1.17939991163356	0.890309725828599	0.598440350741071	0.306570975659794	0.0128008668633456
r_1631	acetaldehyde exchange	2416	acetaldehyde[e] => 	2.26879547429583	1.74842416175128	1.21347758901795	0.612399591348159	0.0244983352636867
