rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_1542	(1->3)-beta-D-glucan exchange	2345	(1->3)-beta-D-glucan[e] => 	0	0	0	0	0
r_1545	(R)-carnitine exchange	2347	(R)-carnitine[e] => 	0	0	0	0	0
r_1546	(R)-lactate exchange	2348	(R)-lactate[e] => 	3.69095483995409	2.77511767293776	1.85007968201814	0.925041691080284	0.03700521978273
r_1547	(R)-mevalonate exchange	2349	(R)-mevalonate[e] => 	1.50562707909101	1.16130954560414	0.808063902262231	0.421819355587588	0.0168743940052297
r_1548	(R)-pantothenate exchange	2350	(R)-pantothenate[e] => 	0.882698572350745	0.664686645470387	0.445876440268293	0.225522751415061	0.00911262272326371
r_1549	(R,R)-2,3-butanediol exchange	2351	(R,R)-2,3-butanediol[e] => 	2.17658383571997	1.67627617111369	1.14304673148793	0.57152450878587	0.0228631750018316
r_1550	(S)-3-methyl-2-oxopentanoate exchange	2352	(S)-3-methyl-2-oxopentanoate[e] => 	1.57831840591252	1.1881137218462	0.79790903777848	0.400803880168132	0.0162443033815202
r_1551	(S)-lactate exchange	2353	(S)-lactate[e] => 	0	0	0	0	0
r_1552	(S)-malate exchange	2354	(S)-malate[e] => 	3.00000000000023	2.48010606545051	1.66266965121531	0.84327359140957	0.034510043893988
r_1553	1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	2355	1-(sn-glycero-3-phospho)-1D-myo-inositol[e] => 	1.08776530806074	0.818034253758673	0.547173893248724	0.273635050773635	0.0110377619981538
r_1554	1-acylglycerophosphocholine exchange	2356	1-acylglycerophosphocholine[e] => 	0	0	0	0	0
r_1563	2'-deoxyadenosine exchange	2359	2'-deoxyadenosine[e] => 	0	0	0	0	0
r_1564	2'-deoxyguanosine exchange	2360	2'-deoxyguanosine[e] => 	0	0	0	0	0
r_1565	2'-deoxyinosine exchange	2361	2'-deoxyinosine[e] => 	0	0	0	0	0
r_1566	2'-deoxyuridine exchange	2362	2'-deoxyuridine[e] => 	0	0	0	0	0
r_1572	2-isopropylmalate exchange	2365	2-isopropylmalate[e] => 	1.44151407908906	1.11289915355147	0.765488259754681	0.391663213036673	0.015868433240574
r_1577	2-methylbutanal exchange	2370	2-methylbutanal[e] => 	1.60756745956056	1.20843132147745	0.807741979157912	0.404524549364737	0.0163973730397095
r_1580	2-methylbutanol exchange	2373	2-methylbutanol[e] => 	1.52644577322798	1.14634341874224	0.76587771675762	0.383393078944458	0.0155285804830822
r_1581	2-methylbutyl acetate exchange	2374	2-methylbutyl acetate[e] => 	0	0	0	0	0
r_1586	2-oxoglutarate exchange	2378	2-oxoglutarate[e] => 	2.29835756735008	1.77275277473882	1.24027587368641	0.638753869652078	0.0258568936518486
r_1589	2-phenylethanol exchange	2381	2-phenylethanol[e] => 	1.13614020424685	0.853479744520524	0.570819284794402	0.288158825066554	0.0117460124854985
r_1598	3-methylbutanal exchange	2387	3-methylbutanal[e] => 	1.53063772457199	1.17788154430335	0.819104901393574	0.421751088290477	0.0171066326571394
r_1604	4-aminobenzoate exchange	2392	4-aminobenzoate[e] => 	1.42152114664415	1.07915459967773	0.736788052713727	0.376789543192311	0.0155199106844513
r_1621	5-aminolevulinate exchange	2407	5-aminolevulinate[e] => 	0	0	0	0	0
r_1625	5-formyltetrahydrofolic acid exchange	2411	5-formyltetrahydrofolic acid[e] => 	0	0	0	0	0
r_1627	7,8-diaminononanoate exchange	2412	7,8-diaminononanoate[e] => 	0	0	0	0	0
r_1629	8-amino-7-oxononanoate exchange	2414	8-amino-7-oxononanoate[e] => 	0	0	0	0	0
r_1630	9H-xanthine exchange	2415	9H-xanthine[e] => 	2.3296281915677	1.75453770497379	1.17944721837571	0.600888566289738	0.0251649793729553
r_1631	acetaldehyde exchange	2416	acetaldehyde[e] => 	4.57337400105875	3.5221422367256	2.44993146412307	1.23976203431781	0.0495952420398618
