Slope	K_score	rowID	Enzyme ID	Enzyme Name	Subsystems	Direction	Gr Rule
1.5846	2.0277	69	r_0091	6-phosphogluconolactonase	sce00030  Pentose phosphate pathway;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_4019
-0.16914	-0.20455	126	r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	Gluconeogenesis;sce00010  Glycolysis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics	0	Candida_intermedia@Seq_1427 or Candida_intermedia@Seq_4855 or Candida_intermedia@Seq_5413
-0.16914	-0.20455	128	r_0165	mitochondrial alcohol dehydrogenase	Gluconeogenesis;sce00010  Glycolysis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics	0	Candida_intermedia@Seq_1427 or Candida_intermedia@Seq_4855 or Candida_intermedia@Seq_5413
1	9	263	r_0323	D-sorbitol dehydrogenase (D-fructose producing)	sce00040  Pentose and glucuronate interconversions;sce00051  Fructose and mannose metabolism	0	Candida_intermedia@Seq_2189
-0.35905	-0.17457	297	r_0366	enolase	Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation	1	Candida_intermedia@Seq_118 or Candida_intermedia@Seq_1398 or Candida_intermedia@Seq_766
-0.33829	-0.27277	310	r_0445	formate dehydrogenase	sce00630  Glyoxylate and dicarboxylate metabolism;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_1471
0.33829	0.27333	311	r_0446	formate-tetrahydrofolate ligase	sce00670  One carbon pool by folate	-1	Candida_intermedia@Seq_1816 or Candida_intermedia@Seq_4775
-1.0564	-0.95859	315	r_0450	fructose-bisphosphate aldolase	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_4943
0.95276	1.2885	319	r_0455	soluble fumarate reductase		1	Candida_intermedia@Seq_165 or Candida_intermedia@Seq_5277
-1	-0.9889	321	r_0458	galactokinase	sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism	0	Candida_intermedia@Seq_1935 or Candida_intermedia@Seq_4294
