exchRxns	exchNames	allGrowthRates
r_1542	(1->3)-beta-D-glucan exchange	98.5014202665279
r_1545	(R)-carnitine exchange	98.5014202665279
r_1546	(R)-lactate exchange	98.5014202665279
r_1547	(R)-mevalonate exchange	98.5014202665279
r_1548	(R)-pantothenate exchange	98.5014202665279
r_1549	(R,R)-2,3-butanediol exchange	98.5014202665279
r_1550	(S)-3-methyl-2-oxopentanoate exchange	98.5014202665279
r_1551	(S)-lactate exchange	98.5014202665279
r_1552	(S)-malate exchange	98.5014202665279
r_1553	1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	98.5014202665279
r_1554	1-acylglycerophosphocholine exchange	98.5014202665279
r_1563	2'-deoxyadenosine exchange	98.5014202665279
r_1564	2'-deoxyguanosine exchange	98.5014202665279
r_1565	2'-deoxyinosine exchange	98.5014202665279
r_1566	2'-deoxyuridine exchange	98.5014202665279
r_1572	2-isopropylmalate exchange	98.5014202665279
r_1577	2-methylbutanal exchange	98.5014202665279
r_1580	2-methylbutanol exchange	98.5014202665279
r_1581	2-methylbutyl acetate exchange	98.5014202665279
r_1586	2-oxoglutarate exchange	98.5014202665279
r_1589	2-phenylethanol exchange	98.5014202665279
r_1598	3-methylbutanal exchange	98.5014202665279
r_1604	4-aminobenzoate exchange	98.5014202665279
r_1621	5-aminolevulinate exchange	98.5014202665279
r_1625	5-formyltetrahydrofolic acid exchange	98.5014202665279
r_1627	7,8-diaminononanoate exchange	98.5014202665279
r_1629	8-amino-7-oxononanoate exchange	98.5014202665279
r_1630	9H-xanthine exchange	98.5014202665279
r_1631	acetaldehyde exchange	98.5014202665279
r_1634	acetate exchange	98.4985768978443
r_1639	adenine exchange	98.4985768978443
r_1641	adenosine 3',5'-bismonophosphate exchange	98.4985768978443
r_1643	adenosine exchange	98.4985768978443
r_1648	allantoate exchange	98.4985768978443
r_1649	allantoin exchange	98.4985768978443
r_1650	trehalose exchange	98.2386549140833
r_1651	alpha-D-glucosamine 6-phosphate exchange	98.2386549140833
r_1654	ammonium exchange	98.2386549140833
r_1663	bicarbonate exchange	98.2386549140833
r_1671	biotin exchange	98.2386549140833
r_1672	carbon dioxide exchange	98.2386549140833
r_1683	choline exchange	98.2386549140833
r_1687	citrate exchange	98.2386549140833
r_1702	cytidine exchange	98.2386549140833
r_1705	cytosine exchange	98.2386549140833
r_1706	D-arabinose exchange	98.2386549140833
r_1709	D-fructose exchange	98.2386549140833
r_1710	D-galactose exchange	98.2254153987381
r_1711	D-galacturonate exchange	98.2254153987381
r_1712	D-glucitol exchange	98.2254153987381
r_1714	D-glucose exchange	97.9423308906166
r_1715	D-mannose exchange	97.9423308906166
r_1716	D-ribose exchange	97.9423308906166
r_1718	D-xylose exchange	97.9423308906166
r_1727	decanoate exchange	97.9423308906166
r_1730	deoxycytidine exchange	97.9423308906166
r_1749	dTTP exchange	97.9390629920576
r_1753	episterol exchange	97.9390629920576
r_1757	ergosterol exchange	97.9390629920576
r_1761	ethanol exchange	97.9390629920576
r_1764	ethanolamine exchange	97.9390629920576
