rxns	rxnNames	formulas	grRules	subSystems	leloir	oxi_red_path	FC
r_0323	D-sorbitol dehydrogenase (D-fructose producing)	D-glucitol[c] + NAD[c] => D-fructose[c] + H+[c] + NADH[c]	Candida_intermedia@Seq_2189	sce00040  Pentose and glucuronate interconversions // sce00051  Fructose and mannose metabolism	0	1	1000000001
r_0533	hexokinase (D-fructose:ATP)	ATP[c] + D-fructose[c] => ADP[c] + D-fructose 6-phosphate[c] + H+[c]	Candida_intermedia@Seq_1160 or Candida_intermedia@Seq_4642	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0	1	1000000001
r_4983	MNXR117337	NAD[c] + galactitol[c] <=> H+[c] + NADH[c] + L-xylo-3-hexulose[c]	Candida_intermedia@Seq_2552		0	1	1000000001
ald_red_NADPH	aldose reductase (NAPDH)	D-galactose[c] + NADPH[c] => NADP(+)[c] + galactitol[c]	xyl1 or xyl1_2 or xyl1_3		0	1	1000000001
xyl_hex_red	L-xylo-3-hexulose reductase	H+[c] + NADPH[c] + L-xylo-3-hexulose[c] <=> D-glucitol[c] + NADP(+)[c]	G0RNA2		0	1	1000000001
r_1084	UTP-glucose-1-phosphate uridylyltransferase	D-glucose 1-phosphate[c] + H+[c] + UTP[c] <=> diphosphate[c] + UDP-D-glucose[c]	Candida_intermedia@Seq_4468	sce00040  Pentose and glucuronate interconversions // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01130  Biosynthesis of antibiotics	0	0.343478663257096	343478664.257096
r_1128	citrate transport	citrate[c] + isocitrate[m] <=> citrate[m] + isocitrate[c]	Candida_intermedia@Seq_3508		0	0.142563276027697	142563277.027698
r_0143	adenosine monophosphate deaminase	AMP[c] + H+[c] + H2O[c] => ammonium[c] + IMP[c]	Candida_intermedia@Seq_2224	sce00230  Purine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0	0.106911739845382	106911740.845382
r_0140	adenosine deaminase	adenosine[c] + H+[c] + H2O[c] => ammonium[c] + inosine[c]	Candida_intermedia@Seq_950	sce00230  Purine metabolism	0	0.00945650056287833	9456501.56287833
r_1850	insosine kinase	ATP[c] + inosine[c] => ADP[c] + H+[c] + IMP[c]			0	0.00945650056287833	9456501.56287833
r_1930	malate/oxaloacetate shuttle	(S)-malate[p] + oxaloacetate[c] <=> (S)-malate[c] + oxaloacetate[p]			0	0.000312794198941476	312795.198941476
r_2335	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), ER membrane	oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[erm] => coenzyme A[erm] + phosphatidate (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_465	sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
r_2437	CDP-diacylglycerol synthase (1-16:1, 2-18:1), ER membrane	H+[erm] + phosphatidate (1-16:1, 2-18:1)[erm] + CTP[erm] <=> diphosphate[erm] + CDP-diacylglycerol (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_2170	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	0	0.00019625926132756	196260.26132756
r_2451	PS synthase (1-16:1, 2-18:1), ER membrane	CDP-diacylglycerol (1-16:1, 2-18:1)[erm] + L-serine[erm] => H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_3269	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
r_2469	PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane	H+[mm] + phosphatidyl-L-serine (1-16:1, 2-18:1)[mm] => carbon dioxide[mm] + phosphatidylethanolamine (1-16:1, 2-18:1)[mm]	Candida_intermedia@Seq_2132	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
r_2493	PE methyltransferase (1-16:1, 2-18:1), ER membrane	S-adenosyl-L-methionine[erm] + phosphatidylethanolamine (1-16:1, 2-18:1)[erm] => H+[erm] + S-adenosyl-L-homocysteine[erm] + phosphatidyl-N-methylethanolamine (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_1775 or Candida_intermedia@Seq_2713	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
