REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_0989	L-glucitol	cytoplasm	5.7755	3.8353e-09	3	17.9591	9.1111	Seq_1183,Seq_2189,Seq_4936
s_0549	D-arabinose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0562	D-glucitol	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0572	D-mannose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0576	D-ribose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0579	D-xylose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0964	L-arabinose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0990	L-glucitol	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_1044	L-sorbose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_1567	xylitol	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_4130	D-tagatose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_4165	2-deoxy-D-ribose	extracellular	5.7418	4.6834e-09	2	21.591	9.321	Seq_1183,Seq_4936
s_0563	D-glucose	cytoplasm	5.6456	8.2307e-09	21	8.0571	8.2378	Seq_847,Seq_4642,Seq_3380,Seq_1183,Seq_188,Seq_1160,Seq_4006,Seq_2192,Seq_4734,Seq_758,Seq_623,Seq_3712,Seq_1122,Seq_5493,Seq_4936,Seq_4945,Seq_4728,Seq_1204,Seq_1370,Seq_2990,Seq_3884,Seq_4552
s_1566	xylitol	cytoplasm	5.2054	9.6792e-08	7	11.5472	9.7188	Seq_1183,Seq_2193,Seq_2189,Seq_2572,Seq_4936,Seq_3482,Seq_4254
s_4261	beta-cellobiose	cytoplasm	5.1033	1.6692e-07	7	11.3639	8.9267	Seq_623,Seq_3712,Seq_1204,Seq_1370,Seq_2990,Seq_3884,Seq_4552
s_0558	D-galactose	cytoplasm	5.0981	1.7158e-07	12	9.2108	8.5454	Seq_2479,Seq_1935,Seq_847,Seq_1183,Seq_2193,Seq_4006,Seq_1122,Seq_3332,Seq_4294,Seq_4936,Seq_4254,Seq_110
s_0963	L-arabinose	cytoplasm	4.9792	3.1929e-07	5	12.7602	11.5269	Seq_1183,Seq_2193,Seq_4936,Seq_3482,Seq_4254
s_0548	D-arabinose	cytoplasm	4.905	4.6711e-07	6	11.7229	10.6184	Seq_1183,Seq_2193,Seq_2297,Seq_4936,Seq_3482,Seq_4254
s_0571	D-mannose	cytoplasm	4.833	6.7252e-07	3	15.3869	12.6061	Seq_4642,Seq_1183,Seq_1160,Seq_4936
s_0152	2-deoxy-D-ribose	cytoplasm	4.5446	2.7515e-06	3	14.6	13.7863	Seq_3129,Seq_1183,Seq_4936
s_0559	D-galactose	extracellular	4.5138	3.1836e-06	3	14.5158	13.9145	Seq_847,Seq_1183,Seq_4936
s_4128	D-tagatose	cytoplasm	4.5094	3.2499e-06	3	14.5039	13.9327	Seq_1183,Seq_2272,Seq_4936
s_0578	D-xylose	cytoplasm	4.4993	3.4084e-06	6	10.9351	11.2374	Seq_1183,Seq_2193,Seq_2026,Seq_4936,Seq_3482,Seq_4254,Seq_3104
s_1043	L-sorbose	cytoplasm	4.3654	6.3451e-06	5	11.4584	11.0404	Seq_1183,Seq_2189,Seq_5357,Seq_2923,Seq_4936
s_0554	D-fructose	extracellular	4.331	7.4228e-06	3	14.0169	14.6813	Seq_1183,Seq_3213,Seq_4936
s_0455	carbamoyl phosphate	cytoplasm	3.8559	5.7664e-05	4	11.3112	2.4619	Seq_3734,Seq_1326,Seq_410,Seq_2261
s_0561	D-glucitol	cytoplasm	3.8137	6.8457e-05	6	9.6037	10.8699	Seq_1183,Seq_2189,Seq_2272,Seq_5357,Seq_2923,Seq_4936
s_0575	D-ribose	cytoplasm	3.7476	8.925e-05	4	11.0555	13.3027	Seq_3129,Seq_3773,Seq_1183,Seq_4936
s_0979	L-citrulline	cytoplasm	3.5838	0.00016932	9	7.8759	6.0936	Seq_21,Seq_3734,Seq_269,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0364	acetate	extracellular	3.5653	0.00018172	1	19.1596	0	Seq_2389,Seq_3913
