REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_1440	spermidine	extracellular	4.4559	4.1765e-06	16	12.4134	7.2341	Seq_127,Seq_21,Seq_1676,Seq_3680,Seq_932,Seq_3882,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0753	glutathione	vacuole	4.3989	5.44e-06	10	14.1354	2.7342	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1473	taurocholic acid	cytoplasm	4.3989	5.44e-06	10	14.1354	2.7342	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1474	taurocholic acid	vacuole	4.3989	5.44e-06	10	14.1354	2.7342	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_0979	L-citrulline	cytoplasm	4.344	6.9971e-06	8	14.9932	8.3488	Seq_21,Seq_3734,Seq_269,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0558	D-galactose	cytoplasm	4.0769	2.2825e-05	12	12.8379	7.0195	Seq_2479,Seq_1935,Seq_847,Seq_1183,Seq_4006,Seq_1122,Seq_3332,Seq_4294,Seq_4936,xyl1,xyl1_2,xyl1_3
s_0850	indol-3-ylacetaldehyde	cytoplasm	4.0505	2.5551e-05	8	14.3606	1.8085	Seq_3511,Seq_594,Seq_3997,Seq_1427,Seq_5250,Seq_5169,Seq_4855,Seq_5413
s_0455	carbamoyl phosphate	cytoplasm	3.9753	3.5141e-05	4	17.7871	3.3178	Seq_3734,Seq_1326,Seq_410,Seq_2261
s_1042	L-serine	mitochondrion	3.9209	4.4103e-05	8	14.0812	7.9063	Seq_1741,Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_2799
s_1439	spermidine	cytoplasm	3.8819	5.1814e-05	20	10.9482	7.1847	Seq_127,Seq_21,Seq_1676,Seq_648,Seq_3680,Seq_932,Seq_1266,Seq_2030,Seq_3882,Seq_2877,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0166	2-methylbutanal	cytoplasm	3.8545	5.7972e-05	11	12.7097	6.6127	Seq_461,Seq_3511,Seq_594,Seq_1427,Seq_1351,Seq_4456,Seq_4948,Seq_5221,Seq_5169,Seq_4855,Seq_5413
s_4034	Ala-Gln	extracellular	3.7651	8.3237e-05	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
