REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_0753	glutathione	vacuole	5.3101	5.4797e-08	10	13.5812	4.4866	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1473	taurocholic acid	cytoplasm	5.3101	5.4797e-08	10	13.5812	4.4866	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1474	taurocholic acid	vacuole	5.3101	5.4797e-08	10	13.5812	4.4866	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1440	spermidine	extracellular	4.8925	4.9779e-07	16	10.3769	6.852	Seq_127,Seq_21,Seq_1676,Seq_3680,Seq_932,Seq_3882,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0563	D-glucose	cytoplasm	4.8646	5.7355e-07	22	9.0448	6.9902	Seq_847,Seq_4642,Seq_3380,Seq_1183,Seq_188,Seq_1160,Seq_4006,Seq_2192,Seq_4734,Seq_758,Seq_623,Seq_3712,Seq_1122,Seq_5493,Seq_4936,Seq_4945,Seq_4728,Seq_1204,Seq_1370,Seq_2990,Seq_3884,Seq_4552
s_4034	Ala-Gln	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4035	Ala-Gln	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4037	Ala-Glu	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4038	Ala-Glu	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4040	Ala-Thr	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4041	Ala-Thr	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4050	Ala-His	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4051	Ala-His	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4053	Gly-Asn	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4054	Gly-Asn	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4056	Gly-Gln	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4057	Gly-Gln	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4059	Gly-Glu	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4060	Gly-Glu	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4085	Gly-Met	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4086	Gly-Met	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4119	Ala-Asp	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4120	Ala-Asp	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4143	Met-Ala	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4144	Met-Ala	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4168	Ala-Leu	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4169	Ala-Leu	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4170	Ala-Gly	extracellular	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4171	Ala-Gly	cytoplasm	4.5705	2.4332e-06	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_0166	2-methylbutanal	cytoplasm	4.511	3.2265e-06	11	11.3288	6.4474	Seq_461,Seq_3511,Seq_594,Seq_1427,Seq_1351,Seq_4456,Seq_4948,Seq_5221,Seq_5169,Seq_4855,Seq_5413
s_1439	spermidine	cytoplasm	4.3693	6.2337e-06	20	8.618	7.1072	Seq_127,Seq_21,Seq_1676,Seq_648,Seq_3680,Seq_932,Seq_1266,Seq_2030,Seq_3882,Seq_2877,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0558	D-galactose	cytoplasm	4.2574	1.034e-05	12	10.3732	6.4861	Seq_2479,Seq_1935,Seq_847,Seq_1183,Seq_4006,Seq_1122,Seq_3332,Seq_4294,Seq_4936,xyl1,xyl1_2,xyl1_3
s_0022	(R)-carnitine	extracellular	4.2099	1.2776e-05	5	15	0	Seq_127,Seq_1475,Seq_1600,Seq_2532,Seq_517
s_1220	nicotinate	extracellular	4.2099	1.2776e-05	5	15	0	Seq_278,Seq_2484,Seq_4549,Seq_5425,Seq_786
s_4261	beta-cellobiose	cytoplasm	4.1327	1.7928e-05	7	12.7657	5.9114	Seq_623,Seq_3712,Seq_1204,Seq_1370,Seq_2990,Seq_3884,Seq_4552
s_0850	indol-3-ylacetaldehyde	cytoplasm	4.0417	2.6528e-05	8	11.8027	6.0831	Seq_3511,Seq_594,Seq_3997,Seq_1427,Seq_5250,Seq_5169,Seq_4855,Seq_5413
s_0234	3-methylbutanal	cytoplasm	3.8002	7.23e-05	8	11.1997	7.0589	Seq_461,Seq_3511,Seq_594,Seq_1427,Seq_4456,Seq_5169,Seq_4855,Seq_5413
s_0937	isobutyraldehyde	cytoplasm	3.8002	7.23e-05	8	11.1997	7.0589	Seq_461,Seq_3511,Seq_594,Seq_1427,Seq_4456,Seq_5169,Seq_4855,Seq_5413
s_0138	2'-deoxyuridine	cytoplasm	3.7499	8.845e-05	4	15	0	Seq_1897,Seq_573,Seq_2089,Seq_1067
s_0377	acetyl-CoA	nucleus	3.7499	8.845e-05	4	15	0	Seq_924,Seq_885,Seq_5400,Seq_3410
s_0659	episterol	extracellular	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_0665	ergosterol	cell envelope	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_0668	ergosterol	extracellular	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_0699	fecosterol	cell envelope	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_0702	fecosterol	extracellular	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_1061	lanosterol	extracellular	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_1529	tryptophol	cytoplasm	3.7499	8.845e-05	4	15	0	Seq_594,Seq_1427,Seq_4855,Seq_5413
s_1571	zymosterol	extracellular	3.7499	8.845e-05	4	15	0	Seq_1939,Seq_2121,Seq_2362,Seq_2987
