genes	shortnames	orthologues	proteins
Seq_878	Seq_878	CIC11T00000001711	YAL012W
Seq_4470	Seq_4470	CIC11T00000004475	YGR199W
Seq_3000	Seq_3000	CIC11T00000000106	YAL044C
Seq_924	Seq_924	CIC11T00000000954	YAL054C
Seq_1203	Seq_1203	CIC11T00000001756	YAL062W
Seq_3847	Seq_3847	CIC11T00000001024	YAR015W
Seq_1407	Seq_1407	CIC11T00000001829	YAR035W
Seq_3336	Seq_3336	CIC11T00000003855	YBL011W
Seq_5462	Seq_5462	CIC11T00000002913	YBL013W
Seq_4679	Seq_4679	CIC11T00000000157	YBL015W
Seq_608	Seq_608	CIC11T00000000919	YBL030C
Seq_2702	Seq_2702	CIC11T00000002049	YBL033C
Seq_5454	Seq_5454	CIC11T00000001151	YBL039C
Seq_1897	Seq_1897	CIC11T00000002671	YBL042C
Seq_5193	Seq_5193	CIC11T00000005408	YBL068W
Seq_5204	Seq_5204	CIC11T00000004014	YBL076C
Seq_1472	Seq_1472	CIC11T00000001489	YBL098W
Seq_2686	Seq_2686	CIC11T00000004182	YBR002C
Seq_2749	Seq_2749	CIC11T00000000583	YBR003W
Seq_3659	Seq_3659	CIC11T00000001995	YBR006W
Seq_3457	Seq_3457	CIC11T00000004312	YBR011C
Seq_3460	Seq_3460	CIC11T00000002104	YBR018C
Seq_2479	Seq_2479	CIC11T00000000159	YBR019C
Seq_1935	Seq_1935	CIC11T00000000287	YBR020W
Seq_1193	Seq_1193	CIC11T00000002195	YBR023C
Seq_4101	Seq_4101	CIC11T00000005664	YBR026C
Seq_2170	Seq_2170	CIC11T00000004081	YBR029C
Seq_942	Seq_942	CIC11T00000001961	YBR034C
Seq_1544	Seq_1544	CIC11T00000005507	YBR035C
Seq_1485	Seq_1485	CIC11T00000003345	YBR041W
Seq_820	Seq_820	CIC11T00000002474	YBR042C
Seq_1816	Seq_1816	CIC11T00000004966	YBR084W
Seq_3305	Seq_3305	CIC11T00000005884	YBR097W
Seq_3244	Seq_3244	CIC11T00000000384	YBR110W
Seq_1672	Seq_1672	CIC11T00000002151	YBR115C
Seq_953	Seq_953	CIC11T00000004736	YBR117C
Seq_4598	Seq_4598	CIC11T00000003609	YBR121C
Seq_4162	Seq_4162	CIC11T00000005443	YBR126C
Seq_692	Seq_692	CIC11T00000002858	YBR127C
Seq_127	Seq_127	CIC11T00000003428	YBR132C
Seq_5427	Seq_5427	CIC11T00000003129	YBR153W
Seq_1205	Seq_1205	CIC11T00000001050	YBR159W
Seq_1354	Seq_1354	CIC11T00000003362	YBR166C
Seq_3519	Seq_3519	CIC11T00000005022	YBR176W
Seq_677	Seq_677	CIC11T00000004065	YBR180W
Seq_1339	Seq_1339	CIC11T00000004874	YBR192W
Seq_4227	Seq_4227	CIC11T00000002731	YBR196C
Seq_2086	Seq_2086	CIC11T00000003288	YBR199W
Seq_3546	Seq_3546	CIC11T00000005056	YBR204C
