Orthogroup	data_Cint	model_Cint
OG0000000	SGZ53862.1	Candida_intermedia@Seq_1236
OG0000000	SGZ51186.1	Candida_intermedia@Seq_620
OG0000000	SGZ54258.1	Candida_intermedia@Seq_580
OG0000000	SGZ51129.1	Candida_intermedia@Seq_5017
OG0000000	SGZ54208.1	Candida_intermedia@Seq_3372
OG0000000	SGZ56130.1	Candida_intermedia@Seq_870
OG0000000	SGZ55373.1	Candida_intermedia@Seq_5227
OG0000001	SGZ46812.1	Candida_intermedia@Seq_3472
OG0000001	SGZ56654.1	Candida_intermedia@Seq_3737, Candida_intermedia@Seq_3361
OG0000001	SGZ49231.1, SGZ55671.1	Candida_intermedia@Seq_5185
OG0000001	SGZ46814.1	Candida_intermedia@Seq_2601
OG0000001	SGZ53382.1	Candida_intermedia@Seq_4080, Candida_intermedia@Seq_62
OG0000002	SGZ51027.1	Candida_intermedia@Seq_4166
OG0000002	SGZ46206.1	Candida_intermedia@Seq_665
OG0000002	SGZ56656.1	Candida_intermedia@Seq_5494
OG0000002	SGZ54714.1	Candida_intermedia@Seq_2659
OG0000002	SGZ50994.1	Candida_intermedia@Seq_3742
OG0000003	SGZ52892.1	Candida_intermedia@Seq_5160
OG0000003	SGZ57787.1	Candida_intermedia@Seq_4153
OG0000003	SGZ47126.1	Candida_intermedia@Seq_3006
OG0000003	SGZ50995.1	Candida_intermedia@Seq_3384
OG0000003	SGZ54679.1, SGZ54677.1	Candida_intermedia@Seq_5172
OG0000004	SGZ52900.1	Candida_intermedia@Seq_884
OG0000004	SGZ54826.1	Candida_intermedia@Seq_4674
OG0000004	SGZ48781.1	Candida_intermedia@Seq_605
OG0000004	SGZ48124.1	Candida_intermedia@Seq_3698
OG0000005	SGZ46210.1	Candida_intermedia@Seq_623
OG0000005	SGZ49663.1	Candida_intermedia@Seq_1204
OG0000005	SGZ46718.1	Candida_intermedia@Seq_1370
OG0000005	SGZ55088.1	Candida_intermedia@Seq_4552
OG0000007	SGZ49609.1	Candida_intermedia@Seq_3922
OG0000007	SGZ47430.1	Candida_intermedia@Seq_729
OG0000007	SGZ51007.1	Candida_intermedia@Seq_3881
OG0000007	SGZ58005.1	Candida_intermedia@Seq_327
OG0000007	SGZ52907.1	Candida_intermedia@Seq_3850
OG0000008	SGZ50830.1	Candida_intermedia@Seq_432
OG0000008	SGZ57340.1	Candida_intermedia@Seq_959
OG0000008	SGZ50834.1, SGZ50840.1	Candida_intermedia@Seq_3729
OG0000009	SGZ47032.1	Candida_intermedia@Seq_628
OG0000009	SGZ51025.1	Candida_intermedia@Seq_3522
OG0000009	SGZ51017.1	Candida_intermedia@Seq_345
OG0000009	SGZ56633.1	Candida_intermedia@Seq_2366
OG0000011	SGZ55250.1	Candida_intermedia@Seq_2121
OG0000011	SGZ46237.1	Candida_intermedia@Seq_1939
OG0000011	SGZ46503.1	Candida_intermedia@Seq_2362
OG0000011	SGZ52304.1	Candida_intermedia@Seq_2987
OG0000012	SGZ57767.1	Candida_intermedia@Seq_2303
OG0000012	SGZ46884.1	Candida_intermedia@Seq_566
OG0000012	SGZ47045.1	Candida_intermedia@Seq_3091
OG0000012	SGZ52897.1	Candida_intermedia@Seq_4275
OG0000013	SGZ50456.1	Candida_intermedia@Seq_4404
OG0000013	SGZ47533.1	Candida_intermedia@Seq_1186
OG0000013	SGZ54485.1	Candida_intermedia@Seq_3182
OG0000013	SGZ47193.1	Candida_intermedia@Seq_997
OG0000014	SGZ54847.1	Candida_intermedia@Seq_1892
OG0000014	SGZ54719.1, SGZ58060.1	Candida_intermedia@Seq_3658
OG0000014	SGZ54718.1	Candida_intermedia@Seq_5020
OG0000015	SGZ47105.1	Candida_intermedia@Seq_4771
OG0000015	SGZ46223.1, SGZ46222.1, SGZ46225.1, SGZ51018.1	Candida_intermedia@Seq_4187
OG0000016	SGZ47033.1	Candida_intermedia@Seq_324
OG0000016	SGZ46997.1	Candida_intermedia@Seq_3185
OG0000016	SGZ54835.1	Candida_intermedia@Seq_3111, Candida_intermedia@Seq_2028
OG0000017	SGZ57804.1	Candida_intermedia@Seq_4984
OG0000017	SGZ55205.1, SGZ49807.1, SGZ49796.1, SGZ51830.1	Candida_intermedia@Seq_4587
OG0000018	SGZ49923.1	Candida_intermedia@Seq_2870
OG0000018	SGZ54299.1	Candida_intermedia@Seq_2471
OG0000018	SGZ51003.1	Candida_intermedia@Seq_3817
OG0000019	SGZ51013.1	Candida_intermedia@Seq_1298
OG0000019	SGZ51014.1	Candida_intermedia@Seq_1881
OG0000019	SGZ57877.1	Candida_intermedia@Seq_5458
