OG0000000: SGZ51129.1 SGZ51186.1 SGZ53862.1 SGZ54208.1 SGZ54258.1 SGZ55373.1 SGZ56130.1 Seq_1236 Seq_3372 Seq_5017 Seq_5227 Seq_580 Seq_620 Seq_870
OG0000001: SGZ46812.1 SGZ46814.1 SGZ49231.1 SGZ53382.1 SGZ55671.1 SGZ56654.1 Seq_2601 Seq_3361 Seq_3472 Seq_3737 Seq_4080 Seq_5185 Seq_62
OG0000002: SGZ46206.1 SGZ48122.1 SGZ50994.1 SGZ51027.1 SGZ54714.1 SGZ56656.1 Seq_2659 Seq_3594 Seq_3742 Seq_4166 Seq_5494 Seq_665
OG0000003: SGZ47126.1 SGZ50995.1 SGZ52892.1 SGZ54677.1 SGZ54679.1 SGZ57787.1 Seq_3006 Seq_3384 Seq_4153 Seq_5160 Seq_5172
OG0000004: SGZ48124.1 SGZ48781.1 SGZ52899.1 SGZ52900.1 SGZ52902.1 SGZ54826.1 Seq_3427 Seq_3698 Seq_4674 Seq_605 Seq_884
OG0000005: SGZ46210.1 SGZ46718.1 SGZ49663.1 SGZ55088.1 Seq_1204 Seq_1370 Seq_2990 Seq_3884 Seq_4552 Seq_623
OG0000006: SGZ47317.1 SGZ47318.1 SGZ49661.1 SGZ51011.1 SGZ51023.1 SGZ54727.1 SGZ54820.1 SGZ55027.1 SGZ55091.1 SGZ57769.1
OG0000007: SGZ47430.1 SGZ49609.1 SGZ51007.1 SGZ52907.1 SGZ58005.1 Seq_327 Seq_3850 Seq_3881 Seq_3922 Seq_729
OG0000008: SGZ50830.1 SGZ50832.1 SGZ50834.1 SGZ50836.1 SGZ50838.1 SGZ50840.1 SGZ57340.1 Seq_3729 Seq_432 Seq_959
OG0000009: SGZ47032.1 SGZ51017.1 SGZ51025.1 SGZ56633.1 Seq_2366 Seq_2570 Seq_345 Seq_3522 Seq_628
OG0000010: Seq_3238 Seq_3443 Seq_3924 Seq_4088 Seq_4182 Seq_4480 Seq_5211 Seq_5297 Seq_5379
OG0000011: SGZ46237.1 SGZ46503.1 SGZ52304.1 SGZ55250.1 Seq_1939 Seq_2121 Seq_2362 Seq_2987
OG0000012: SGZ46884.1 SGZ47045.1 SGZ52897.1 SGZ57767.1 Seq_2303 Seq_3091 Seq_4275 Seq_566
OG0000013: SGZ47193.1 SGZ47533.1 SGZ50456.1 SGZ54485.1 Seq_1186 Seq_3182 Seq_4404 Seq_997
OG0000014: SGZ54717.1 SGZ54718.1 SGZ54719.1 SGZ54847.1 SGZ58060.1 Seq_1892 Seq_3658 Seq_5020
OG0000015: SGZ46222.1 SGZ46223.1 SGZ46225.1 SGZ47105.1 SGZ51018.1 Seq_4187 Seq_4771
OG0000016: SGZ46997.1 SGZ47033.1 SGZ54835.1 Seq_2028 Seq_3111 Seq_3185 Seq_324
OG0000017: SGZ49796.1 SGZ49807.1 SGZ51830.1 SGZ55205.1 SGZ57804.1 Seq_4587 Seq_4984
OG0000018: SGZ49923.1 SGZ51002.1 SGZ51003.1 SGZ54299.1 Seq_2471 Seq_2870 Seq_3817
OG0000019: SGZ51013.1 SGZ51014.1 SGZ57877.1 SGZ57878.1 Seq_1298 Seq_1881 Seq_5458
OG0000020: SGZ51015.1 SGZ51190.1 SGZ53002.1 SGZ56629.1 Seq_2342 Seq_3290 Seq_3830
OG0000021: SGZ52704.1 SGZ52706.1 SGZ52883.1 SGZ54068.1 Seq_1249 Seq_1764 Seq_4278
OG0000022: SGZ56399.1 SGZ57954.1 SGZ57956.1 SGZ57958.1 Seq_2876 Seq_4194 Seq_4675
OG0000023: SGZ46242.1 SGZ51579.1 SGZ57757.1 Seq_2484 Seq_5425 Seq_786
OG0000024: SGZ46321.1 SGZ47714.1 SGZ52449.1 Seq_3713 Seq_3940 Seq_5235
OG0000025: SGZ46829.1 SGZ53370.1 SGZ53714.1 Seq_2231 Seq_3160 Seq_398
OG0000026: SGZ47212.1 SGZ51008.1 SGZ57990.1 Seq_3014 Seq_4781 Seq_5327
OG0000027: SGZ47413.1 SGZ50618.1 SGZ51197.1 Seq_232 Seq_2953 Seq_5367
OG0000028: SGZ48121.1 SGZ48783.1 SGZ54138.1 Seq_1851 Seq_3792 Seq_4634
OG0000029: SGZ49132.1 SGZ49256.1 SGZ52407.1 Seq_1427 Seq_4855 Seq_5413
OG0000030: SGZ49657.1 SGZ49987.1 SGZ50035.1 Seq_3418 Seq_5531 Seq_818
OG0000031: SGZ49794.1 SGZ49805.1 SGZ51828.1 SGZ55197.1 SGZ55199.1 SGZ55203.1
OG0000032: SGZ49937.1 SGZ49942.1 SGZ57363.1 Seq_4280 Seq_4489 Seq_679
OG0000033: SGZ50191.1 SGZ54938.1 SGZ56686.1 Seq_110 Seq_2193 Seq_4254
OG0000034: SGZ50465.1 SGZ52577.1 SGZ56412.1 Seq_1052 Seq_107 Seq_4687
OG0000035: SGZ51009.1 SGZ52906.1 SGZ54723.1 Seq_4914 Seq_5117 Seq_5366
OG0000036: SGZ51019.1 SGZ54429.1 SGZ56525.1 SGZ56658.1 Seq_4321 Seq_4330
OG0000037: SGZ52890.1 SGZ57316.1 Seq_1315 Seq_2291 Seq_2745 Seq_3097
OG0000038: SGZ53697.1 SGZ54137.1 SGZ56050.1 Seq_1828 Seq_1992 Seq_2590
OG0000039: SGZ54729.1 SGZ56294.1 SGZ58078.1 Seq_1330 Seq_3945 Seq_5485
OG0000040: SGZ54830.1 SGZ56403.1 SGZ56663.1 Seq_127 Seq_1475 Seq_517
OG0000041: SGZ57195.1 SGZ57197.1 SGZ57198.1 Seq_1342 Seq_4717 Seq_981
OG0000042: SGZ46846.1 SGZ57432.1 SGZ57591.1 SGZ57856.1 Seq_355
OG0000043: SGZ47595.1 SGZ50241.1 Seq_2357 Seq_2457 Seq_4649
OG0000044: SGZ47657.1 SGZ47658.1 SGZ52792.1 Seq_1458 Seq_5205
OG0000045: SGZ48071.1 SGZ50998.1 SGZ50999.1 Seq_3028 Seq_755
OG0000046: SGZ48792.1 SGZ57779.1 SGZ57780.1 Seq_1260 Seq_3058
OG0000047: SGZ48812.1 SGZ48814.1 SGZ53927.1 Seq_3521 Seq_713
OG0000048: SGZ49115.1 SGZ49118.1 SGZ52177.1 Seq_2308 Seq_3790
OG0000049: SGZ49211.1 SGZ49213.1 SGZ52735.1 Seq_3 Seq_5134
OG0000050: SGZ49792.1 SGZ49798.1 SGZ49800.1 SGZ51832.1 SGZ55201.1
OG0000051: SGZ50119.1 SGZ51824.1 SGZ51826.1 Seq_2994 Seq_3637
OG0000052: SGZ51940.1 SGZ54843.1 Seq_1897 Seq_2089 Seq_396
OG0000053: SGZ52290.1 SGZ52294.1 SGZ52296.1 SGZ52298.1 Seq_3276
OG0000054: SGZ53423.1 SGZ53425.1 SGZ55227.1 Seq_3205 Seq_4191
OG0000055: SGZ53751.1 SGZ53753.1 SGZ56001.1 Seq_1102 Seq_275
OG0000056: SGZ55716.1 SGZ55718.1 SGZ55720.1 Seq_174 Seq_2402
OG0000057: SGZ56830.1 SGZ56832.1 SGZ56834.1 Seq_2105 Seq_408
OG0000058: SGZ57790.1 SGZ57868.1 SGZ57909.1 Seq_4753 Seq_515
OG0000059: SGZ46214.1 SGZ57784.1 Seq_2102 Seq_3412
OG0000060: SGZ46220.1 SGZ52478.1 SGZ52997.1 Seq_5178
OG0000061: SGZ46228.1 SGZ51000.1 Seq_2137 Seq_4014
OG0000062: SGZ46465.1 SGZ48992.1 Seq_1876 Seq_4844
OG0000063: SGZ46658.1 SGZ46906.1 Seq_4931 Seq_4932
OG0000064: SGZ46691.1 SGZ54291.1 Seq_1741 Seq_2799
OG0000065: SGZ46773.1 SGZ55320.1 Seq_4074 Seq_5497
OG0000066: SGZ46885.1 SGZ51184.1 Seq_175 Seq_3878
OG0000067: SGZ46892.1 SGZ56501.1 Seq_257 Seq_2836
OG0000068: SGZ46933.1 SGZ47366.1 Seq_1807 Seq_4965
OG0000069: SGZ46972.1 SGZ54673.1 Seq_1600 Seq_2532
OG0000070: SGZ47004.1 SGZ55891.1 Seq_2821 Seq_4767
OG0000071: SGZ47010.1 SGZ55885.1 Seq_2913 Seq_4265
OG0000072: SGZ47034.1 SGZ47169.1 Seq_1067 Seq_573
OG0000073: SGZ47037.1 SGZ52872.1 Seq_3780 Seq_5433
OG0000074: SGZ47057.1 SGZ57725.1 Seq_3467 Seq_5093
OG0000075: SGZ47058.1 SGZ57723.1 Seq_1206 Seq_1759
OG0000076: SGZ47103.1 SGZ49277.1 Seq_1306 Seq_691
OG0000077: SGZ47238.1 SGZ47851.1 Seq_1077 Seq_932
OG0000078: SGZ47291.1 SGZ49005.1 Seq_1743 Seq_927
OG0000079: SGZ47331.1 SGZ47332.1 Seq_1446 Seq_349
OG0000080: SGZ47403.1 SGZ56673.1 Seq_2689 Seq_3396
OG0000081: SGZ47439.1 SGZ56024.1 Seq_2609 Seq_3193
OG0000082: SGZ47577.1 SGZ57396.1 Seq_1942 Seq_2712
OG0000083: SGZ47592.1 SGZ48883.1 Seq_1532 Seq_669
OG0000084: SGZ47610.1 SGZ49143.1 Seq_1272 Seq_1857
OG0000085: SGZ47677.1 SGZ56422.1 Seq_1326 Seq_2261
OG0000086: SGZ47691.1 SGZ57542.1 Seq_1183 Seq_4936
OG0000087: SGZ47694.1 SGZ56646.1 Seq_1784 Seq_5359
OG0000088: SGZ47718.1 SGZ53289.1 Seq_1875 Seq_5209
OG0000089: SGZ47754.1 SGZ56278.1 Seq_1111 Seq_5308
OG0000090: SGZ47799.1 SGZ57929.1 Seq_2133 Seq_4905
OG0000091: SGZ47842.1 SGZ55338.1 Seq_1931 Seq_4131
OG0000092: SGZ47862.1 SGZ55441.1 Seq_1267 Seq_3578
OG0000093: SGZ47884.1 SGZ51012.1 Seq_118 Seq_766
OG0000094: SGZ47941.1 SGZ47970.1 Seq_1722 Seq_5047
OG0000095: SGZ48078.1 SGZ54477.1 SGZ55596.1 Seq_2431
OG0000096: SGZ48796.1 SGZ54839.1 Seq_3857 Seq_688
OG0000097: SGZ49326.1 SGZ56146.1 Seq_1338 Seq_3183
OG0000098: SGZ49448.1 SGZ52435.1 Seq_1297 Seq_4526
OG0000099: SGZ49478.1 SGZ57825.1 Seq_2417 Seq_4899
OG0000100: SGZ49480.1 SGZ52535.1 Seq_4958 Seq_5123
OG0000101: SGZ49593.1 SGZ50992.1 Seq_2909 Seq_3435
OG0000102: SGZ49598.1 SGZ56688.1 Seq_1935 Seq_4294
OG0000103: SGZ49600.1 SGZ56684.1 Seq_2479 Seq_3332
OG0000104: SGZ49614.1 SGZ51001.1 Seq_278 Seq_4549
OG0000105: SGZ49619.1 SGZ49622.1 Seq_1626 Seq_4097
OG0000106: SGZ49631.1 SGZ58038.1 Seq_3359 Seq_65
OG0000107: SGZ49674.1 SGZ52804.1 Seq_1130 Seq_4422
OG0000108: SGZ49707.1 SGZ55472.1 Seq_2927 Seq_975
OG0000109: SGZ49734.1 SGZ56682.1 Seq_4760 Seq_672
OG0000110: SGZ49825.1 Seq_1663 Seq_3583 Seq_401
OG0000111: SGZ49906.1 SGZ54210.1 Seq_1096 Seq_2862
OG0000112: SGZ49926.1 SGZ51004.1 Seq_3980 Seq_718
OG0000113: SGZ50044.1 SGZ53377.1 Seq_2217 Seq_773
OG0000114: SGZ50139.1 SGZ58011.1 Seq_1019 Seq_2568
OG0000115: SGZ50173.1 SGZ53008.1 Seq_303 Seq_4719
OG0000116: SGZ50184.1 SGZ52910.1 Seq_1965 Seq_4740
OG0000117: SGZ50201.1 SGZ56118.1 Seq_1292 Seq_4473
OG0000118: SGZ50203.1 SGZ53143.1 Seq_856 Seq_868
OG0000119: SGZ50208.1 SGZ50210.1 Seq_292 Seq_3864
OG0000120: SGZ50228.1 SGZ51522.1 Seq_2613 Seq_5193
OG0000121: SGZ50235.1 SGZ56778.1 Seq_3410 Seq_885
OG0000122: SGZ50352.1 SGZ57242.1 Seq_2881 Seq_4900
OG0000123: SGZ50458.1 SGZ53516.1 Seq_5400 Seq_924
OG0000124: SGZ50467.1 SGZ56414.1 Seq_4305 Seq_806
OG0000125: SGZ50579.1 SGZ57729.1 Seq_5376 Seq_860
OG0000126: SGZ50624.1 SGZ53252.1 Seq_3511 Seq_5169
OG0000127: SGZ50784.1 SGZ55051.1 Seq_2171 Seq_3001
OG0000128: SGZ50817.1 SGZ53246.1 Seq_55 Seq_970
OG0000129: SGZ50846.1 SGZ50848.1 SGZ54378.1 Seq_1666
OG0000130: SGZ50987.1 SGZ51766.1 Seq_3828 Seq_3853
OG0000131: SGZ51010.1 SGZ57636.1 Seq_2941 Seq_4994
OG0000132: SGZ51037.1 SGZ52095.1 Seq_1364 Seq_2478
OG0000133: SGZ51050.1 SGZ56488.1 Seq_1145 Seq_4033
OG0000134: SGZ51311.1 SGZ55637.1 Seq_2908 Seq_2976
OG0000135: SGZ51329.1 SGZ55954.1 Seq_3645 Seq_916
OG0000136: SGZ51356.1 SGZ53372.1 Seq_194 Seq_5163
OG0000137: SGZ51498.1 SGZ51500.1 Seq_3078 Seq_3311
OG0000138: SGZ51629.1 SGZ52895.1 Seq_3838 Seq_5007
OG0000139: SGZ51764.1 SGZ56702.1 Seq_3266 Seq_80
OG0000140: SGZ52603.1 SGZ52605.1 SGZ52607.1 Seq_4402
OG0000141: SGZ52700.1 SGZ54822.1 Seq_2972 Seq_4782
OG0000142: SGZ52714.1 SGZ53473.1 Seq_135 Seq_5307
OG0000143: SGZ52914.1 SGZ52915.1 SGZ54715.1 Seq_3909
OG0000144: SGZ53080.1 SGZ54481.1 Seq_1577 Seq_2236
OG0000145: SGZ53215.1 SGZ56014.1 Seq_1118 Seq_3571
OG0000146: SGZ53348.1 SGZ54691.1 Seq_3431 Seq_5019
OG0000147: SGZ53539.1 SGZ57761.1 SGZ58066.1 Seq_3577
OG0000148: SGZ53577.1 SGZ57869.1 Seq_2795 Seq_3294
OG0000149: SGZ53701.1 SGZ57376.1 Seq_1548 Seq_846
OG0000150: SGZ53894.1 SGZ57501.1 Seq_1373 Seq_784
OG0000151: SGZ54345.1 SGZ54660.1 Seq_1822 Seq_2813
OG0000152: SGZ54721.1 SGZ57097.1 Seq_1351 Seq_4948
OG0000153: SGZ54850.1 SGZ54852.1 Seq_2616 Seq_2740
OG0000154: SGZ55325.1 SGZ56171.1 Seq_1290 Seq_3529
OG0000155: SGZ55821.1 SGZ56445.1 Seq_1137 Seq_2293
