Orthogroup	model_Cint	data_Cint
OG0000000	Seq_5017	SGZ51129.1
OG0000000	Seq_580	SGZ54258.1
OG0000000	Seq_620	SGZ51186.1
OG0000000	Seq_1236	SGZ53862.1
OG0000000	Seq_3372	SGZ54208.1
OG0000000	Seq_870	SGZ56130.1
OG0000000	Seq_5227	SGZ55373.1
OG0000001	Seq_2601	SGZ46814.1
OG0000001	Seq_3472	SGZ46812.1
OG0000001	Seq_4080, Seq_62	SGZ53382.1
OG0000001	Seq_3361, Seq_3737	SGZ56654.1
OG0000001	Seq_5185	SGZ49231.1, SGZ55671.1
OG0000002	Seq_3742	SGZ50994.1
OG0000002	Seq_2659	SGZ54714.1
OG0000002	Seq_5494	SGZ56656.1
OG0000002	Seq_665	SGZ46206.1
OG0000002	Seq_4166	SGZ51027.1
OG0000002	Seq_3594	SGZ48122.1
OG0000003	Seq_4153	SGZ57787.1
OG0000003	Seq_3384	SGZ50995.1
OG0000003	Seq_5172	SGZ54679.1, SGZ54677.1
OG0000003	Seq_5160	SGZ52892.1
OG0000003	Seq_3006	SGZ47126.1
OG0000004	Seq_884	SGZ52900.1
OG0000004	Seq_605	SGZ48781.1
OG0000004	Seq_4674	SGZ54826.1
OG0000004	Seq_3698	SGZ48124.1
OG0000005	Seq_623	SGZ46210.1
OG0000005	Seq_1204	SGZ49663.1
OG0000005	Seq_1370	SGZ46718.1
OG0000005	Seq_4552	SGZ55088.1
OG0000007	Seq_327	SGZ58005.1
OG0000007	Seq_3850	SGZ52907.1
OG0000007	Seq_3881	SGZ51007.1
OG0000007	Seq_729	SGZ47430.1
OG0000007	Seq_3922	SGZ49609.1
OG0000008	Seq_959	SGZ57340.1
OG0000008	Seq_432	SGZ50836.1, SGZ50832.1, SGZ50838.1, SGZ50830.1
OG0000008	Seq_3729	SGZ50834.1, SGZ50840.1
OG0000009	Seq_628	SGZ47032.1
OG0000009	Seq_3522	SGZ51025.1
OG0000009	Seq_2366	SGZ56633.1
OG0000009	Seq_345	SGZ51017.1
OG0000011	Seq_2987	SGZ52304.1
OG0000011	Seq_2362	SGZ46503.1
OG0000011	Seq_1939	SGZ46237.1
OG0000011	Seq_2121	SGZ55250.1
OG0000012	Seq_566	SGZ46884.1
OG0000012	Seq_2303	SGZ57767.1
OG0000012	Seq_4275	SGZ52897.1
OG0000013	Seq_4404	SGZ50456.1
OG0000013	Seq_1186	SGZ47533.1
OG0000013	Seq_3182	SGZ54485.1
OG0000013	Seq_997	SGZ47193.1
OG0000014	Seq_3658	SGZ58060.1
OG0000014	Seq_1892	SGZ54847.1
OG0000014	Seq_5020	SGZ54717.1
OG0000015	Seq_4771	SGZ47105.1
OG0000015	Seq_4187	SGZ46223.1, SGZ46222.1, SGZ51018.1, SGZ46225.1
OG0000016	Seq_2028	SGZ54835.1
OG0000016	Seq_3185	SGZ46997.1
OG0000016	Seq_324	SGZ47033.1
OG0000017	Seq_4984	SGZ57804.1
OG0000017	Seq_4587	SGZ49796.1, SGZ55205.1, SGZ51830.1, SGZ49807.1
OG0000018	Seq_3817	SGZ51003.1
OG0000018	Seq_2471	SGZ54299.1
OG0000018	Seq_2870	SGZ51002.1, SGZ49923.1
OG0000019	Seq_1298	SGZ51013.1
OG0000019	Seq_5458	SGZ57877.1
OG0000019	Seq_1881	SGZ51014.1
OG0000020	Seq_2342	SGZ56629.1
OG0000020	Seq_3290	SGZ51190.1
OG0000020	Seq_3830	SGZ51015.1
OG0000021	Seq_1764	SGZ52706.1
OG0000021	Seq_4278	SGZ52883.1
OG0000021	Seq_1249	SGZ54068.1, SGZ52704.1
OG0000022	Seq_4194	SGZ57958.1
OG0000022	Seq_4675	SGZ57954.1
OG0000022	Seq_2876	SGZ57956.1, SGZ56399.1
OG0000023	Seq_5425	SGZ57757.1
OG0000023	Seq_786	SGZ46242.1
OG0000023	Seq_2484	SGZ51579.1
OG0000024	Seq_3940	SGZ46321.1
OG0000024	Seq_5235	SGZ52449.1
OG0000024	Seq_3713	SGZ47714.1
OG0000025	Seq_2231	SGZ46829.1
OG0000025	Seq_3160	SGZ53714.1
OG0000025	Seq_398	SGZ53370.1
OG0000026	Seq_4781	SGZ57990.1
OG0000026	Seq_5327	SGZ51008.1
OG0000026	Seq_3014	SGZ47212.1
OG0000027	Seq_232	SGZ51197.1
OG0000027	Seq_5367	SGZ47413.1
OG0000027	Seq_2953	SGZ50618.1
OG0000028	Seq_4634	SGZ48783.1
OG0000028	Seq_3792	SGZ48121.1
OG0000028	Seq_1851	SGZ54138.1
OG0000029	Seq_4855	SGZ49256.1
OG0000029	Seq_1427	SGZ49132.1
OG0000029	Seq_5413	SGZ52407.1
OG0000030	Seq_3418	SGZ50035.1
OG0000030	Seq_5531	SGZ49987.1
OG0000030	Seq_818	SGZ49657.1
OG0000032	Seq_4489	SGZ57363.1
OG0000032	Seq_4280	SGZ49942.1
OG0000032	Seq_679	SGZ49937.1
OG0000033	Seq_4254	SGZ50191.1
OG0000033	Seq_110	SGZ56686.1
OG0000033	Seq_2193	SGZ54938.1
OG0000034	Seq_1052	SGZ50465.1
OG0000034	Seq_4687	SGZ52577.1
OG0000034	Seq_107	SGZ56412.1
OG0000035	Seq_5366	SGZ54723.1
OG0000035	Seq_4914	SGZ52906.1
OG0000035	Seq_5117	SGZ51009.1
OG0000036	Seq_4330	SGZ54429.1
OG0000036	Seq_4321	SGZ51019.1, SGZ56525.1, SGZ56658.1
OG0000037	Seq_2745	SGZ52890.1
OG0000037	Seq_1315, Seq_3097, Seq_2291	SGZ57316.1
OG0000038	Seq_1828	SGZ53697.1
OG0000038	Seq_1992	SGZ56050.1
OG0000038	Seq_2590	SGZ54137.1
OG0000039	Seq_3945	SGZ58078.1
OG0000039	Seq_1330	SGZ54729.1
OG0000039	Seq_5485	SGZ56294.1
OG0000040	Seq_517	SGZ56663.1
OG0000040	Seq_127	SGZ54830.1
OG0000040	Seq_1475	SGZ56403.1
OG0000041	Seq_981	SGZ57197.1
OG0000041	Seq_1342	SGZ57195.1
OG0000041	Seq_4717	SGZ57198.1
OG0000042	Seq_355	SGZ57591.1, SGZ57432.1, SGZ57856.1, SGZ46846.1
OG0000043	Seq_2457	SGZ50241.1
OG0000043	Seq_2357, Seq_4649	SGZ47595.1
OG0000044	Seq_5205	SGZ47658.1
OG0000044	Seq_1458	SGZ47657.1, SGZ52792.1
OG0000045	Seq_755	SGZ50998.1
OG0000045	Seq_3028	SGZ50999.1, SGZ48071.1
OG0000046	Seq_3058	SGZ48792.1
OG0000046	Seq_1260	SGZ57780.1, SGZ57779.1
OG0000047	Seq_3521	SGZ48814.1
OG0000047	Seq_713	SGZ48812.1, SGZ53927.1
OG0000048	Seq_3790	SGZ49118.1
OG0000048	Seq_2308	SGZ49115.1, SGZ52177.1
OG0000049	Seq_5134	SGZ49213.1
OG0000049	Seq_3	SGZ52735.1, SGZ49211.1
OG0000051	Seq_3637	SGZ51826.1
OG0000051	Seq_2994	SGZ51824.1, SGZ50119.1
OG0000052	Seq_2089	SGZ54843.1
OG0000052	Seq_396, Seq_1897	SGZ51940.1
OG0000053	Seq_3276	SGZ52296.1, SGZ52290.1, SGZ52298.1, SGZ52294.1
OG0000054	Seq_4191	SGZ55227.1
OG0000054	Seq_3205	SGZ53423.1, SGZ53425.1
OG0000055	Seq_275	SGZ53751.1
OG0000055	Seq_1102	SGZ53753.1, SGZ56001.1
OG0000056	Seq_2402	SGZ55720.1
OG0000056	Seq_174	SGZ55716.1, SGZ55718.1
OG0000057	Seq_2105	SGZ56830.1
