HOG	OG	Gene Tree Parent Clade	data_Cint	model_Cint
N0.HOG0000000	OG0000000	n1	SGZ53862.1	Candida_intermedia@Seq_1236
N0.HOG0000001	OG0000000	n3	SGZ51186.1	Candida_intermedia@Seq_620
N0.HOG0000002	OG0000000	n6	SGZ54258.1	Candida_intermedia@Seq_580
N0.HOG0000003	OG0000000	n7	SGZ51129.1	Candida_intermedia@Seq_5017
N0.HOG0000004	OG0000000	n9	SGZ54208.1	Candida_intermedia@Seq_3372
N0.HOG0000005	OG0000000	n11	SGZ56130.1	Candida_intermedia@Seq_870
N0.HOG0000006	OG0000000	n12	SGZ55373.1	Candida_intermedia@Seq_5227
N0.HOG0000007	OG0000001	n1	SGZ46812.1	Candida_intermedia@Seq_3472
N0.HOG0000008	OG0000001	n5	SGZ56654.1	Candida_intermedia@Seq_3737, Candida_intermedia@Seq_3361
N0.HOG0000009	OG0000001	n7	SGZ49231.1, SGZ55671.1	Candida_intermedia@Seq_5185
N0.HOG0000010	OG0000001	n9	SGZ46814.1	Candida_intermedia@Seq_2601
N0.HOG0000011	OG0000001	n10	SGZ53382.1	Candida_intermedia@Seq_4080, Candida_intermedia@Seq_62
N0.HOG0000012	OG0000002	n1	SGZ51027.1	Candida_intermedia@Seq_4166
N0.HOG0000013	OG0000002	n5	SGZ46206.1	Candida_intermedia@Seq_665
N0.HOG0000014	OG0000002	n7	SGZ56656.1	Candida_intermedia@Seq_5494
N0.HOG0000015	OG0000002	n9	SGZ54714.1	Candida_intermedia@Seq_2659
N0.HOG0000016	OG0000002	n10	SGZ50994.1	Candida_intermedia@Seq_3742
N0.HOG0000017	OG0000003	n1	SGZ52892.1	Candida_intermedia@Seq_5160
N0.HOG0000018	OG0000003	n4	SGZ57787.1	Candida_intermedia@Seq_4153
N0.HOG0000019	OG0000003	n5	SGZ47126.1	Candida_intermedia@Seq_3006
N0.HOG0000020	OG0000003	n7	SGZ50995.1	Candida_intermedia@Seq_3384
N0.HOG0000021	OG0000003	n8	SGZ54679.1, SGZ54677.1	Candida_intermedia@Seq_5172
N0.HOG0000022	OG0000004	n1	SGZ52900.1	Candida_intermedia@Seq_884
N0.HOG0000023	OG0000004	n3	SGZ52899.1, SGZ52902.1	
N0.HOG0000024	OG0000004	n7	SGZ54826.1	Candida_intermedia@Seq_4674
N0.HOG0000025	OG0000004	n8	SGZ48781.1	Candida_intermedia@Seq_605
N0.HOG0000026	OG0000004	n9	SGZ48124.1	Candida_intermedia@Seq_3698
N0.HOG0000027	OG0000005	n1	SGZ46210.1	Candida_intermedia@Seq_623
N0.HOG0000028	OG0000005	n6	SGZ49663.1	Candida_intermedia@Seq_1204
N0.HOG0000029	OG0000005	n7	SGZ46718.1	Candida_intermedia@Seq_1370
N0.HOG0000030	OG0000005	n8	SGZ55088.1	Candida_intermedia@Seq_4552
N0.HOG0000031	OG0000006	n0	SGZ47318.1, SGZ55027.1, SGZ54727.1, SGZ51023.1, SGZ51011.1, SGZ55091.1, SGZ47317.1, SGZ49661.1, SGZ57769.1, SGZ54820.1	
N0.HOG0000032	OG0000007	n1	SGZ49609.1	Candida_intermedia@Seq_3922
N0.HOG0000033	OG0000007	n4	SGZ47430.1	Candida_intermedia@Seq_729
N0.HOG0000034	OG0000007	n5	SGZ51007.1	Candida_intermedia@Seq_3881
N0.HOG0000035	OG0000007	n7	SGZ58005.1	Candida_intermedia@Seq_327
N0.HOG0000036	OG0000007	n8	SGZ52907.1	Candida_intermedia@Seq_3850
N0.HOG0000037	OG0000008	n1	SGZ50830.1	Candida_intermedia@Seq_432
N0.HOG0000038	OG0000008	n3	SGZ50838.1, SGZ50832.1	
N0.HOG0000039	OG0000008	n6	SGZ57340.1	Candida_intermedia@Seq_959
N0.HOG0000040	OG0000008	n7	SGZ50834.1, SGZ50840.1	Candida_intermedia@Seq_3729
N0.HOG0000041	OG0000009	n1	SGZ47032.1	Candida_intermedia@Seq_628
N0.HOG0000042	OG0000009	n4	SGZ51025.1	Candida_intermedia@Seq_3522
