Var1	Var2	Var3
Seq_878	Candida_intermedia@Seq_878	CIC11T00000001711
Seq_4470	Candida_intermedia@Seq_4470	CIC11T00000004475
Seq_3000	Candida_intermedia@Seq_3000	CIC11T00000000106
Seq_924	Candida_intermedia@Seq_924	CIC11T00000000954
Seq_1203	Candida_intermedia@Seq_1203	CIC11T00000001756
Seq_3847	Candida_intermedia@Seq_3847	CIC11T00000001024
Seq_1407	Candida_intermedia@Seq_1407	CIC11T00000001829
Seq_3336	Candida_intermedia@Seq_3336	CIC11T00000003855
Seq_5462	Candida_intermedia@Seq_5462	CIC11T00000002913
Seq_4679	Candida_intermedia@Seq_4679	CIC11T00000000157
Seq_608	Candida_intermedia@Seq_608	CIC11T00000000919
Seq_2702	Candida_intermedia@Seq_2702	CIC11T00000002049
Seq_5454	Candida_intermedia@Seq_5454	CIC11T00000001151
Seq_1897	Candida_intermedia@Seq_1897	CIC11T00000002671
Seq_5193	Candida_intermedia@Seq_5193	CIC11T00000005408
Seq_5204	Candida_intermedia@Seq_5204	CIC11T00000004014
Seq_1472	Candida_intermedia@Seq_1472	CIC11T00000001489
Seq_2686	Candida_intermedia@Seq_2686	CIC11T00000004182
Seq_2749	Candida_intermedia@Seq_2749	CIC11T00000000583
Seq_3659	Candida_intermedia@Seq_3659	CIC11T00000001995
Seq_3457	Candida_intermedia@Seq_3457	CIC11T00000004312
Seq_3460	Candida_intermedia@Seq_3460	CIC11T00000002104
Seq_2479	Candida_intermedia@Seq_2479	CIC11T00000000159
Seq_1935	Candida_intermedia@Seq_1935	CIC11T00000000287
Seq_1193	Candida_intermedia@Seq_1193	CIC11T00000002195
Seq_4101	Candida_intermedia@Seq_4101	CIC11T00000005664
Seq_2170	Candida_intermedia@Seq_2170	CIC11T00000004081
Seq_942	Candida_intermedia@Seq_942	CIC11T00000001961
Seq_1544	Candida_intermedia@Seq_1544	CIC11T00000005507
Seq_1485	Candida_intermedia@Seq_1485	CIC11T00000003345
Seq_820	Candida_intermedia@Seq_820	CIC11T00000002474
Seq_1816	Candida_intermedia@Seq_1816	CIC11T00000004966
Seq_3305	Candida_intermedia@Seq_3305	CIC11T00000005884
Seq_3244	Candida_intermedia@Seq_3244	CIC11T00000000384
Seq_1672	Candida_intermedia@Seq_1672	CIC11T00000002151
Seq_953	Candida_intermedia@Seq_953	CIC11T00000004736
Seq_4598	Candida_intermedia@Seq_4598	CIC11T00000003609
Seq_4162	Candida_intermedia@Seq_4162	CIC11T00000005443
