genes	geneNames	C20_1	C20_2	C20_3	G20_1	G20_2	G20_3	GA20_1	GA20_2	GA20_3	L20_1	L20_2	L20_3	L20_4	L20_5	L20_6	L20_7	L20_8	X20_1	X20_2	X20_3
CIC11T00000005687	 RBR3_12	9.774696748	9.623481616	9.218648022	10.42309874	10.54666925	10.4800747	9.302233346	9.583894801	9.716906799	9.707827127	9.21456544	9.329878786	9.056401405	9.602808235	9.118882318	9.16407419	9.013004832	10.12644758	10.23090016	10.16830001
CIC11T00000000809	 vpr	6.314548755	6.302745589	6.573820023	5.668158749	5.693679555	5.699484026	6.310706308	6.158155805	6.335915755	5.530371037	5.635968253	5.48732896	5.655378412	5.54374993	5.595110545	5.508511474	5.713551335	5.764546479	5.761684105	5.378460266
CIC11T00000004607	 YWP1	8.154447675	8.084489111	7.626257192	6.413973106	7.232023527	7.344737205	9.354359467	10.18071943	10.10050241	9.095338136	7.901444866	7.829033232	8.00966546	9.035464691	7.883901583	8.002639159	7.964221654	7.688736746	7.406067563	7.617928028
CIC11T00000002535	 bglI	10.41645981	10.50437141	11.01228974	1.87732754	0.951012072	1.960580497	8.685899612	8.702383711	8.635707033	5.608685925	5.336474393	4.805256147	4.748277219	5.497065678	5.063843734	4.093771679	4.419257227	6.536912406	6.710103356	6.148330151
CIC11T00000000412	 ABCF3	7.288620463	7.277881993	7.794498767	4.624078587	5.317966262	4.403841394	13.98556769	14.11157992	14.17199218	8.314637436	7.941085342	8.075893959	7.207411751	7.976238076	7.539449375	7.095589036	7.40307606	5.819186038	6.801650155	5.839304772
CIC11T00000000620	 blr3397	7.329036693	7.236752078	7.756925684	7.035170046	7.005720472	6.925396086	6.257068449	6.201236599	5.996522453	6.606693491	6.257357456	6.305165476	6.108228151	6.489528144	6.232325958	6.000821373	6.015342675	8.265008614	8.226865937	8.27082014
CIC11T00000000661	 THI72_2	7.201741575	7.481002498	7.609050145	6.440811091	6.790478776	6.563565682	6.760540631	6.634193993	6.925970561	6.363651221	6.31614456	6.493777151	6.354625894	6.623518945	6.659451204	6.224871014	6.495826843	6.591679394	6.484074367	6.653657692
CIC11T00000005411	 SPCC777.02_2	5.603474317	5.695300432	5.769089186	5.124533855	5.592697789	5.578738791	5.807625084	6.168158604	6.099294989	5.17932311	4.772362481	5.109151266	4.882386507	5.289865423	4.94524452	5.297163749	4.954452947	5.694723851	5.662545367	5.791633809
CIC11T00000000047	 augustus_masked-chr1-processed-gene-0.53	7.635438346	7.711111516	6.869131058	7.196178493	7.020852721	7.908300935	8.465926678	8.489556471	8.504660838	7.726523034	7.622005261	7.463496906	7.635163337	7.841697023	7.60997884	7.780971444	7.629834791	8.00916782	7.366217667	7.289620088
CIC11T00000001894	 MCA1	7.165308602	7.113283368	7.276451071	6.637959387	6.740469843	6.531898178	7.067774022	7.005479452	6.993985771	7.073747221	7.474437189	7.55671284	7.378566436	7.185290613	7.585320939	7.536345732	7.440595954	7.092111318	6.963125106	6.873950762
